商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
221Z,0,VULCANO ORO              CE,24,3.15,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/221Z"
223,0,FONTANE ASSORTITE,24,3.42,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/223"
230,0,HAPPY SPRING FESTIVAL,24,2.92,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/230"
232,0,APE REGINA,24,4.1,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/232"
233,0,FISCHI E COLORI,24,3.41,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/233"
234,0,MAXI FONTANE ASSORTITE,24,5.3,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/234"
265A,0,265AVENUS,12,8.3,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/265A"
265B,0,265B CAROL,12,8.3,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/265B"
0268,0,FONTANA CAPPUCCINO,12,7.65,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0268"
269A,0,269A MISSISSIPPI,12,6.14,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/269A"
269B,0,269B MISSISSIPPI,12,6.14,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/269B"
271A,0,FONTANA  STELLA,12,9.02,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/271A"
272,0,STRAUSS,12,6.62,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/272"
273A,0,273A CUORE,12,8.51,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/273A"
276A,0,276A Spettacolino 12 effetti,12,7.62,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/276A"
276B,0,276B Spettacolino 12 effetti,12,7.62,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/276B"
277,0,fontana  WOOW,8,8.65,PZ,999,,📦,8,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/277"
277A,0,fontana SUPER MICHELLE,4,16.47,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/277A"
278,0,SINFONIA,18,4.04,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/278"
279A,0,279A DAIANA,18,2.96,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/279A"
279B,0,279B DAHLIA,18,2.96,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/279B"
282A,0,282A SPLENDID,18,2.86,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/282A"
282B,0,282B KITTY,18,2.86,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/282B"
286,0,RE LEONE,18,4.39,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/286"
301,0,301 MAGNOLIA                                                CON ALETTE ANTIRIBALTAMENTO,18,5.5,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/301"
302,0,302 LILY                                                             CON ALETTE ANTIRIBALTAMENTO,18,5.5,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/302"
321,0,321 LILY,12,8,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/321"
0322,0,322 NEW BILLY,12,8,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0322"
366X,0,366AX  LILY,12,11.5,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/366X"
367AX,0,367AX FIRE FLY,12,11.5,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/367AX"
0501,0,501 NEW WILD BILLY,8,15.6,PZ,999,,📦,8,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0501"
0502,0,502 MAGNOLIA,8,15.6,PZ,999,,📦,8,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0502"
0721,0,SUPER SHOW - 280s,1,144,PZ,999,,📦,1,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0721"
0723,0,NEW CASABLANCA - 200s,2,72,PZ,999,,📦,2,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/0723"
724A,0,ALESSI PIROSHOW - 200s,2,84,PZ,999,,📦,2,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/724A"
724B,0,ALESSI SUPERSTAR - 200s,2,84,PZ,999,,📦,2,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/724B"
725,0,NAXOS - 238s,1,108,PZ,999,,📦,1,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/725"
726,0,HIPPY - 350s,1,144,PZ,999,,📦,1,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/726"
400,0,CANDELA ROMANA - 20 getti,48,2.9,PZ,999,,📦,48,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/400"
402,0,CANDELA ROMANA - 5 getti,12,8.4,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/402"
409,0,RAZZETTO FISCHIO + COLPO,240,0.75,PZ,999,,📦,240,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/409"
413,0,RAZZO  SATURNO,20,10.2,PZ,999,,📦,20,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/413"
414,0,RAZZO VENERE,12,11.4,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/414"
demon,0,DEMON,100,1.6,PZ,999,,📦,100,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/demon"
mini,0,MINI THOR,50,3.1,PZ,999,,📦,50,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/mini"
mid,0,MID TOHOR,72,2.2,PZ,999,,📦,72,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/mid"
8054521802287,1,A+CURE SALV.BABY 72PZ CLIP RISO/MANDORLA,24,0.71,PZ,999,,📦,24,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8054521802287"
8026871812001,1,ACCENDIFUOCO ECOLOGICO ARROW 32 CUBI,46,0.58,PZ,999,,📦,46,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8026871812001"
8710732226105,1,ACCENDINO CRICKET MEDIO    ESSENTIAL BOX    150756,50,0.48,PZ,999,,📦,50,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8710732226105"
8001480709133,1,"ACE 2,5LT PIU DENSO ARMONIE",6,2.13,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709133"
8001480709102,1,"ACE 2,5LT PIU DENSO FRESCO PROFUMO",6,2.13,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709102"
8001480711051,1,ACE 3LT DENSO PIU' ARMONIE FLOREALI,6,2.28,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480711051"
8001480709119,1,ACE 3LT DENSO PIU' FRESCO PROFUMO,6,2.28,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709119"
8001480719361,1,ACE 4LT CANDEGGINA CLASSICA,4,2.27,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719361"
8001480718739,1,ACE 4LT DENSO PIU' ARMONIE FLOREALI,4,2.79,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480718739"
8001480718722,1,ACE 4LT DENSO PIU' FRESCO PROFUMO,4,2.79,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480718722"
8001480055940,1,ACE ADDITIVO IGIENIZZANTE 900ML,12,2.08,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480055940"
