商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8009350302927,0,BAGNO PINO SILVESTRE 750 BREZZA,12,1.87,PZ,999,26901,📦,12,,
8009350401699,0,BAGNO PINO SILVESTRE 750 CLASS,12,1.87,PZ,999,9118,📦,12,,
8009350302903,0,BAGNO PINO SILVESTRE 750 FLORA SELV,12,1.87,PZ,999,26904,📦,12,,
8009350302934,0,BAGNO PINO SILVESTRE 750 RISVEGLIO,12,1.87,PZ,999,26902,📦,12,,
8009350302910,0,BAGNO PINO SILVESTRE 750 RUGIADA,12,1.87,PZ,999,26903,📦,12,,
8009350404317,0,BAGNO PINO SILVESTRE 750 TALCO,12,1.87,PZ,999,9119,📦,12,,
8009350303054,0,DOCCIA SH PINO SILV. 250 CLASSICA,12,0.77,PZ,999,24817,📦,12,,
8009350303078,0,DOCCIA SH PINO SILV. 250 ENERGY,12,0.77,PZ,999,24819,📦,12,,
8009350303092,0,DOCCIA SH PINO SILV. 250 EXTREME,12,0.77,PZ,999,24821,📦,12,,
8009350303061,0,DOCCIA SH PINO SILV. 250 FRESH,12,0.77,PZ,999,24818,📦,12,,
8009350303085,0,DOCCIA SH PINO SILV. 250 SPORT,12,0.77,PZ,999,24820,📦,12,,
8009350401668,0,DOP. PINO SILVESTRE 125 ML,6,7.44,PZ,999,3215,📦,6,,
8009350401637,0,EDT PINO SILVESTRE 125 ML,6,9.52,PZ,999,20401,📦,6,,
8009350301470,0,IGIENE INTIMA PINO SILV 250 A/BATT,12,0.77,PZ,999,20222,📦,12,,
8009350301456,0,IGIENE INTIMA PINO SILV 250 NEUTRO,12,0.77,PZ,999,20220,📦,12,,
8009350301463,0,IGIENE INTIMA PINO SILV SENS 250,12,0.77,PZ,999,20221,📦,12,,
8009350407424,0,SAP. LIQ. PINO SILV 300 NEUTRO,12,0.77,PZ,999,14848,📦,12,,
8009350407417,0,SAP. LIQ. PINO SILV 300 IDRATANTE,12,0.77,PZ,999,14850,📦,12,,
8009350303375,0,SAP. LIQ. PINO SILV 300 A/BATTERICO,12,0.77,PZ,999,14851,📦,12,,
8005090017701,0,BICCHIERI DOPLA CAFFE' 80CCX100,48,0.85,PZ,999,1035,📦,48,,
8008650024317,0,BICCHIERI DOPLA 200CCX100 BIANCHI,30,0.92,PZ,999,2882,📦,30,,
8008650023617,0,BICCHIERI DOPLA 200CX100 TRASPAREN,30,0.98,PZ,999,3279,📦,30,,
8005090016490,0,PIATTI DOPLA PIANI X 25 BIANCHI RIU,24,1.46,PZ,999,26550,📦,24,,
8005090016513,0,PIATTI DOPLA FONDI X 25 BIANCHI RIU,24,1.46,PZ,999,26551,📦,24,,
8008650025437,0,BICCHIERI DOPLA 200CCX50 ARANCIO,30,0.73,PZ,999,4607,📦,30,,
8008650022726,0,BICCHIERI DOPLA 200CCX50 BLU,30,0.73,PZ,999,25408,📦,30,,
8005090026406,0,BICCHIERI DOPLA 200CCX50 FUCSIA,30,0.73,PZ,999,7484,📦,30,,
8008650295175,0,BICCHIERI DOPLA 200CCX50 GIALLO,30,0.73,PZ,999,4370,📦,30,,
8005090001489,0,BICCHIERI DOPLA 200CCX50 NERO,30,0.73,PZ,999,9353,📦,30,,
8008650295199,0,BICCHIERI DOPLA 200CCX50 ROSA,30,0.73,PZ,999,4361,📦,30,,
8005090004831,0,BICCHIERI DOPLA 200CCX50 TURCHESE,30,0.73,PZ,999,25413,📦,30,,
8005090001601,0,BICCHIERI DOPLA 200CCX50 VERDE,30,0.73,PZ,999,5528,📦,30,,
8005090016872,0,PIATTI DOPLA FRUTTA X 25 ARANCIO RI,12,0.92,PZ,999,25397,📦,12,,
8005090023757,0,PIATTI DOPLA FRUTTA X 25 AZZURRO RI,12,0.92,PZ,999,25398,📦,12,,
8005090017329,0,PIATTI DOPLA FRUTTA X 25 BLU RIUTIL,12,0.92,PZ,999,25399,📦,12,,
8005090023856,0,PIATTI DOPLA FRUTTA X 25 FUCSIA RIU,12,0.92,PZ,999,25400,📦,12,,
8005090017480,0,PIATTI DOPLA FRUTTA X 25 GIALLO RIU,12,0.92,PZ,999,25401,📦,12,,
8005090023917,0,PIATTI DOPLA FRUTTA X 25 NERO RIUT,12,0.92,PZ,999,25402,📦,12,,
8005090023979,0,PIATTI DOPLA FRUTTA X 25 ROSA RIUTI,12,0.92,PZ,999,25403,📦,12,,
8005090017527,0,PIATTI DOPLA FRUTTA X 25 TURCHESE R,12,0.92,PZ,999,25404,📦,12,,
8005090017497,0,PIATTI DOPLA FRUTTA X 25 VERDE RIUT,12,0.92,PZ,999,25405,📦,12,,
8005090016858,0,PIATTI DOPLA PIANI X 25 ARANCIO RIU,15,1.71,PZ,999,25388,📦,15,,
8005090017138,0,PIATTI DOPLA PIANI X 25 FUCSIA RIUT,15,1.71,PZ,999,25391,📦,15,,
8005090017183,0,PIATTI DOPLA PIANI X 25 TURCHESE RI,15,1.71,PZ,999,25395,📦,15,,
8005090017190,0,PIATTI DOPLA PIANI X 25 VERDE RIUTI,15,1.71,PZ,999,25396,📦,15,,
8032642752025,0,BICCH DIESSE BIANCH 200CCX50X2,30,0.92,PZ,999,7221,📦,30,,
8032642752162,0,BICCH DIESSE CAFFE 80CCX100,42,0.92,PZ,999,13127,📦,42,,
8008570625007,0,BICCH DIESSE CRYSTAL 250CCX50,20,1.52,PZ,999,12152,📦,20,,
